Product,Process
2-ETHYLHEXANOL,2-ETHYL HEXYL ALCOHOL
ACETIC ACID,ACETIC ACID
ACETONE,ACETONE & PHENOL
PHENOL,ACETONE & PHENOL
ACRYLONITRILE,ACRYLONITRILE
ABS RESIN,ACRYLONITRILE BUTADIENE STYRENE
ADIPIC ACID,ADIPIC ACID
,ADIPONITRILE
,ADIPONITRILE/HEXAMETHYLENEDIAMINE
AMMONIA,AMMONIA
,AMMONIA - COAL
,AMMONIA - NG
,AMMONIA - OIL
AMMONIUM NITRATE FERTILIZER,AMMONIUM NITRATE
,AMMONIUM SULPHATE
ANILINE,ANILINE
BENZENE,BENZENE ROUTE
BISPHENOL A,BISPHENOL A
BUTANES,BUTANE ROUTE
,CALCIUM AMMONIUM NITRATE
CAPROLACTAM,CAPROLACTAM
CYCLOHEXANE,CYCLOHEXANE
DIAMMONIUM PHOSPHATE,DIAMMONIUM PHOSPHATE
DIMETHYL TEREPHTHALATE,DIMETHYL TEREPHTHALATE
DIMETHYL TEREPHTHALATE,DIMETHYL TEREPHTHALATE ROUTE
DIOCTYL PHTHALATE,DIOCTYL PHTHALATE
ETHYLBENZENE,ETHYLBENZENE/STYRENE
STYRENE,ETHYLBENZENE/STYRENE
ETHYLENE DICHLORIDE,ETHYLENE DICHLORIDE/VINYL CHLORIDE
VINYL CHLORIDE,ETHYLENE DICHLORIDE/VINYL CHLORIDE
ETHYLENE GLYCOL,ETHYLENE GLYCOL
ETHYLENE OXIDE,ETHYLENE OXIDE
"POLYSTYRENE, EXP",EXPANDABLE POLYSTYRENE
FORMALDEHYDE,FORMALDEHYDE
"POLYSTYRENE, GP",GENERAL PURPOSE POLYSTYRENE
HEXAMETHYLENEDIAMINE,HEXAMETHYLENEDIAMINE
"POLYETHYLENE, HD",HIGH DENSITY POLYETHYLENE
"POLYSTYRENE, HI",HIGH IMPACT POLYSTYRENE
ISOPHTHALIC ACID,ISOPHTHALIC ACID
"POLYETHYLENE, LLD",LINEAR LOW DENSITY POLYETHYLENE
"POLYETHYLENE, LD",LOW DENSITY POLYETHYLENE 
MALEIC ANHYDRIDE,MALEIC ANHYDRIDE
MELAMINE,MELAMINE
,METHANOL - COAL
METHANOL,METHANOL - NG
,METHANOL - OIL
,METHYL ALCOHOL
METHYL METHACRYLATE,METHYL METHACRYLATE
METHYL T-BUTYL ETHER,METHYL TERT-BUTYL ETHER
METHYLENE DIPHENYLENE ISOCYANATE,METHYLENE DIPHENYL DIISOCYANATE
MONOAMMONIUM PHOSPHATE,MONOAMMONIUM PHOSPHATE
,MULTI-PRODUCT/FEED PROCESSES
NITRIC ACID (60%),NITRIC ACID
NITRIC ACID (99%),NITRIC ACID
,NITRILE BUTADIENE
PHTHALIC ANHYDRIDE,PHTHALIC ANHYDRIDE
POLYACRYLONITRILE FIBER,POLYACRYLONITRILE
,POLYAMIDE 6
,POLYAMIDE 6 FIBRE
,POLYAMIDE 66
,POLYAMIDE 66 FIBRE
POLYBUTADIENE,POLYBUTADIENE
POLYCARBONATE,POLYCARBONATE
,POLYCHLOROPRENE
POLYETHYLENE TEREPHTHALATE,POLYETHYLENE TEREPHTHALATE
,POLYETHYLENE TEREPHTHALATE FIBRE
,POLYMETHYL METHACRYLATE
POLYPROPYLENE,POLYPROPYLENE
,POLYPROPYLENE FIBRE
POLYVINYL ACETATE,POLYVINYL ACETATE
POLYVINYL CHLORIDE,POLYVINYL CHLORIDE
PROPYLENE OXIDE,PROPYLENE OXIDE
,PURIFIED TEREPHTHALIC ACID
,STYRENE ACRYLONITRILE
STYRENE-BUTADIENE BLOCK COPOLYMER,STYRENE BUTADIENE
STYRENE-BUTADIENE RUBBER,STYRENE BUTADIENE
STYRENE-BUTADIENE-STYRENE COPOLYMER,STYRENE BUTADIENE
TEREPHTHALIC ACID,TEREPHTHALIC ACID ROUTE
TOLUENE DIISOCYANATE,TOLUENE DIISOCYANATE
"UREA, AGRICULTURAL GRADE",UREA
,UREA AMMONIUM NITRATE
VINYL ACETATE,VINYL ACETATE
